"BEG","SNAP_ID","SQL_ID","EXECUTIONS_DELTA","BUFFER_GETS_DELTA","DISK_READS_DELTA","ELAPSED_TIME_DELTA","ROWS_PROCESSED_DELTA","AVGBG","AVGPR","AVGELAPSED",
"08/09/2023 12:45",5221,"4f43ch8kn749p",737,273427,0,16393674,74437,371,0,22243.7910447761194029850746268656716418,
"08/09/2023 12:45",5221,"4f43ch8kn749p",538,199598,0,7923753,54338,371,0,14728.1654275092936802973977695167286245,
"08/09/2023 12:45",5221,"4f43ch8kn749p",538,199598,0,7923753,54338,371,0,14728.1654275092936802973977695167286245,
"08/09/2023 12:45",5221,"4f43ch8kn749p",737,273427,0,16393674,74437,371,0,22243.7910447761194029850746268656716418,
"08/09/2023 13:15",5223,"4f43ch8kn749p",3013,1118936,0,88764434,304616,371.369399269830733488217723199468967806,0,29460.482575506140059741121805509459011,
"08/09/2023 13:15",5223,"4f43ch8kn749p",2796,1037316,0,50584891,282396,371,0,18091.8780400572246065808297567954220315,
"08/09/2023 13:15",5223,"4f43ch8kn749p",3013,1118936,0,88764434,304616,371.369399269830733488217723199468967806,0,29460.482575506140059741121805509459011,
"08/09/2023 13:15",5223,"4f43ch8kn749p",2796,1037316,0,50584891,282396,371,0,18091.8780400572246065808297567954220315,
"08/09/2023 13:45",5225,"4f43ch8kn749p",258,95718,0,5945098,26058,371,0,23043.015503875968992248062015503875969,
"08/09/2023 13:45",5225,"4f43ch8kn749p",546,202566,0,11363306,55146,371,0,20811.9157509157509157509157509157509158,
"08/09/2023 13:45",5225,"4f43ch8kn749p",258,95718,0,5945098,26058,371,0,23043.015503875968992248062015503875969,
"08/09/2023 13:45",5225,"4f43ch8kn749p",546,202566,0,11363306,55146,371,0,20811.9157509157509157509157509157509158,
"19/09/2023 16:00",6290,"4f43ch8kn749p",1,372,371,79520,101,372,371,79520,
"19/09/2023 16:00",6290,"4f43ch8kn749p",1,372,371,79520,101,372,371,79520,
"21/09/2023 13:15",6471,"4f43ch8kn749p",101,303,0,32077,0,3,0,317.594059405940594059405940594059405941,
"21/09/2023 13:15",6471,"4f43ch8kn749p",101,303,0,32077,0,3,0,317.594059405940594059405940594059405941,
"21/09/2023 15:15",6479,"4f43ch8kn749p",3,347,220,58661,0,115.666666666666666666666666666666666667,73.33333333333333333333333333333333333333,19553.6666666666666666666666666666666667,
"21/09/2023 15:15",6479,"4f43ch8kn749p",3,347,220,58661,0,115.666666666666666666666666666666666667,73.33333333333333333333333333333333333333,19553.6666666666666666666666666666666667,
"21/09/2023 17:30",6488,"4f43ch8kn749p",1926,15495,0,1580534,4922,8.04517133956386292834890965732087227414,0,820.630321910695742471443406022845275182,
"21/09/2023 17:30",6488,"4f43ch8kn749p",1926,15495,0,1580534,4922,8.04517133956386292834890965732087227414,0,820.630321910695742471443406022845275182,
"18/10/2023 17:15",9079,"4f43ch8kn749p",1,2105,0,189996,12,2105,0,189996,
"18/10/2023 17:15",9079,"4f43ch8kn749p",1,2105,0,189996,12,2105,0,189996,
"20/10/2023 11:15",9247,"4f43ch8kn749p",7009,46709,0,16127971,8697,6.66414609787416179198173776572977600228,0,2301.037380510771864745327436153516906834,
"20/10/2023 11:15",9247,"4f43ch8kn749p",7009,46709,0,16127971,8697,6.66414609787416179198173776572977600228,0,2301.037380510771864745327436153516906834,
"20/10/2023 11:30",9248,"4f43ch8kn749p",6024,34977,0,7657540,3314,5.80627490039840637450199203187250996016,0,1271.171978751660026560424966799468791501,
"20/10/2023 11:30",9248,"4f43ch8kn749p",6024,34977,0,7657540,3314,5.80627490039840637450199203187250996016,0,1271.171978751660026560424966799468791501,
"20/10/2023 11:45",9249,"4f43ch8kn749p",8064,49416,0,10783097,5099,6.12797619047619047619047619047619047619,0,1337.189608134920634920634920634920634921,
"20/10/2023 11:45",9249,"4f43ch8kn749p",8064,49416,0,10783097,5099,6.12797619047619047619047619047619047619,0,1337.189608134920634920634920634920634921,
"23/10/2023 16:15",9555,"4f43ch8kn749p",2,2914,817,98602,202,1457,408.5,49301,
"23/10/2023 16:15",9555,"4f43ch8kn749p",2,2914,817,98602,202,1457,408.5,49301,
"23/10/2023 16:30",9556,"4f43ch8kn749p",118,412897,232106,7078993,789,3499.127118644067796610169491525423728814,1967,59991.466101694915254237288135593220339,
"23/10/2023 16:30",9556,"4f43ch8kn749p",287,665550,312567,13049399,2243,2318.989547038327526132404181184668989547,1089.083623693379790940766550522648083624,45468.2891986062717770034843205574912892,
"23/10/2023 16:30",9556,"4f43ch8kn749p",287,665550,312567,13049399,2243,2318.989547038327526132404181184668989547,1089.083623693379790940766550522648083624,45468.2891986062717770034843205574912892,
"23/10/2023 16:30",9556,"4f43ch8kn749p",118,412897,232106,7078993,789,3499.127118644067796610169491525423728814,1967,59991.466101694915254237288135593220339,
"23/10/2023 16:45",9557,"4f43ch8kn749p",1541,5004118,2665684,87262793,7915,3247.318624269954574951330304996755353666,1729.840363400389357560025957170668397145,56627.3802725502920181700194678780012979,
"23/10/2023 16:45",9557,"4f43ch8kn749p",2366,7815061,4219105,128756439,12394,3303.068892645815722738799661876584953508,1783.222738799661876584953508030431107354,54419.458579881656804733727810650887574,
"23/10/2023 16:45",9557,"4f43ch8kn749p",1541,5004118,2665684,87262793,7915,3247.318624269954574951330304996755353666,1729.840363400389357560025957170668397145,56627.3802725502920181700194678780012979,
"23/10/2023 16:45",9557,"4f43ch8kn749p",2366,7815061,4219105,128756439,12394,3303.068892645815722738799661876584953508,1783.222738799661876584953508030431107354,54419.458579881656804733727810650887574,
"23/10/2023 17:00",9558,"4f43ch8kn749p",5404,16300229,7149768,352924233,10023,3016.326609918578830495928941524796447076,1323.051073279052553663952627683197631384,65307.9631754256106587712805329385640266,
"23/10/2023 17:00",9558,"4f43ch8kn749p",7926,25376284,12218803,560874077,13740,3201.650769618975523593237446379005803684,1541.610269997476659096643956598536462276,70763.8250063083522583901085036588443099,
"23/10/2023 17:00",9558,"4f43ch8kn749p",5404,16300229,7149768,352924233,10023,3016.326609918578830495928941524796447076,1323.051073279052553663952627683197631384,65307.9631754256106587712805329385640266,
"23/10/2023 17:00",9558,"4f43ch8kn749p",7926,25376284,12218803,560874077,13740,3201.650769618975523593237446379005803684,1541.610269997476659096643956598536462276,70763.8250063083522583901085036588443099,
"23/10/2023 17:15",9559,"4f43ch8kn749p",8102,27056078,14108073,701143171,5307,3339.431992100715872624043446062700567761,1741.307454949395211058997778326339175512,86539.5175265366576154036040483831152802,
"23/10/2023 17:15",9559,"4f43ch8kn749p",9789,32312548,16708172,871171020,5938,3300.903871692716314230258453366023087139,1706.831341301460823373173970783532536521,88994.8942690775360098069261415874961692,
